exp,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10
morphclr_baseline_pretrained_resnet18_50-epochs_stl10_100-epochs,0.8899999999999866,0.7612499999999893,0.9037499999999863,0.6299999999999921,0.7974999999999886,0.6187499999999924,0.8312499999999878,0.6987499999999907,0.8999999999999864,0.8662499999999871
morphclr_baseline_random_resnet18_50-epochs_stl10_100-epochs,0.8324999999999878,0.5924999999999929,0.8574999999999873,0.5524999999999938,0.6749999999999912,0.4974999999999949,0.7349999999999899,0.6062499999999926,0.8574999999999873,0.7837499999999888
morphclr_canny_dual_pretrained_resnet18_50-epochs_stl10_100-epochs,0.5587499999999936,0.6587499999999915,0.06500000000000003,0.5824999999999931,0.34374999999999817,0.18625000000000014,0.01875,0.10125000000000006,0.7812499999999889,0.5224999999999944
morphclr_canny_dual_random_resnet18_50-epochs_stl10_100-epochs,0.3749999999999975,0.6474999999999917,0.06000000000000003,0.5924999999999929,0.1475000000000001,0.17875000000000013,0.08125000000000004,0.20875000000000016,0.9124999999999861,0.30249999999999905
morphclr_canny_single_pretrained_resnet18_50-epochs_stl10_100-epochs,0.005,0.4637499999999956,0,0.2799999999999995,0.00875,0.28874999999999934,0,0,0.3837499999999973,0.6399999999999919
morphclr_canny_single_random_resnet18_50-epochs_stl10_100-epochs,0.5049999999999948,0.9337499999999856,0.01875,0.07875000000000004,0.17625000000000013,0.00375,0,0,0.7824999999999889,0
morphclr_dexined_dual_pretrained_resnet18_50-epochs_stl10_100-epochs,0.8174999999999881,0.684999999999991,0.8987499999999864,0.6787499999999911,0.5937499999999929,0.5324999999999942,0.8537499999999874,0.6599999999999915,0.9312499999999857,0.8412499999999876
morphclr_dexined_dual_random_resnet18_50-epochs_stl10_100-epochs,0.824999999999988,0.6487499999999917,0.8024999999999884,0.5374999999999941,0.4737499999999954,0.5024999999999948,0.8487499999999875,0.7212499999999902,0.9262499999999858,0.7899999999999887
morphclr_dexined_single_pretrained_resnet18_50-epochs_stl10_100-epochs,0.543749999999994,0.5162499999999945,0.8174999999999881,0.7424999999999897,0.539999999999994,0.5274999999999943,0.7437499999999897,0.5749999999999933,0.9387499999999855,0.8537499999999874
morphclr_dexined_single_random_resnet18_50-epochs_stl10_100-epochs,0.47499999999999537,0.3949999999999971,0.6712499999999912,0.4512499999999959,0.4687499999999955,0.3574999999999979,0.777499999999989,0.8637499999999871,0.9324999999999857,0.8037499999999884
VIT_5_epochs,0.9974999999999843,0.9774999999999847,0.9874999999999845,0.9899999999999844,0.9974999999999843,0.9899999999999844,0.9974999999999843,0.9962499999999843,0.9974999999999843,0.9912499999999844
