exp,class_1_acc,class_2_acc,class_3_acc,class_4_acc,class_5_acc,class_6_acc,class_7_acc,class_8_acc,class_9_acc,class_10_accclass_1_style,class_2_style,class_3_style,class_4_style,class_5_style,class_6_style,class_7_style,class_8_style,class_9_style,class_10_styleclass_1_content,class_2_content,class_3_content,class_4_content,class_5_content,class_6_content,class_7_content,class_8_content,class_9_content,class_10_content
morphclr_baseline_pretrained_resnet18_50-epochs_stl10_100-epochs,0.8387499999999877,0.7174999999999903,0.8562499999999873,0.5312499999999942,0.8074999999999883,0.5074999999999947,0.7799999999999889,0.5562499999999937,0.7924999999999887,0.6812499999999910,85,96,81,108,64,87,66,83,57671,574,685,425,646,406,624,445,634,545
morphclr_baseline_random_resnet18_50-epochs_stl10_100-epochs,0.7974999999999886,0.6437499999999918,0.8437499999999876,0.4599999999999957,0.6574999999999915,0.5199999999999945,0.7037499999999905,0.5962499999999928,0.7087499999999904,0.75499999999998950,93,91,75,77,84,77,74,80,66638,515,675,368,526,416,563,477,567,604
morphclr_canny_dual_pretrained_resnet18_50-epochs_stl10_100-epochs,0.5087499999999947,0.6149999999999924,0.05375000000000003,0.6074999999999926,0.30249999999999905,0.16375000000000012,0.005,0.12000000000000008,0.7562499999999894,0.42124999999999650,139,4,270,41,45,0,45,162,66407,492,43,486,242,131,4,96,605,337
morphclr_canny_dual_random_resnet18_50-epochs_stl10_100-epochs,0.35874999999999785,0.6162499999999924,0.06000000000000003,0.6024999999999927,0.11000000000000007,0.16000000000000011,0.07000000000000003,0.18625000000000014,0.8787499999999868,0.233750000000000180,137,10,242,14,47,6,47,259,41287,493,48,482,88,128,56,149,703,187
morphclr_canny_single_pretrained_resnet18_50-epochs_stl10_100-epochs,0.01125,0.44874999999999593,0,0.2899999999999993,0.01,0.34374999999999817,0,0,0.3137499999999988,0.57624999999999330,127,0,160,4,128,0,0,66,2539,359,0,232,8,275,0,0,251,461
morphclr_canny_single_random_resnet18_50-epochs_stl10_100-epochs,0.46749999999999553,0.9574999999999851,0.00625,0.03125000000000001,0.1450000000000001,0.0025,0,0,0.7574999999999894,00,434,0,21,50,3,0,0,261,0374,766,5,25,116,2,0,0,606,0
morphclr_dexined_dual_pretrained_resnet18_50-epochs_stl10_100-epochs,0.7499999999999896,0.6212499999999923,0.7674999999999892,0.541249999999994,0.5687499999999934,0.48124999999999524,0.8387499999999877,0.5149999999999946,0.8762499999999869,0.74374999999998970,68,86,87,73,80,113,69,114,76600,497,614,433,455,385,671,412,701,595
morphclr_dexined_dual_random_resnet18_50-epochs_stl10_100-epochs,0.7999999999999885,0.5974999999999928,0.7524999999999895,0.43874999999999614,0.4349999999999962,0.5787499999999932,0.7999999999999885,0.634999999999992,0.8124999999999882,0.76874999999998920,74,79,58,42,105,99,93,89,72640,478,602,351,348,463,640,508,650,615
morphclr_dexined_single_pretrained_resnet18_50-epochs_stl10_100-epochs,0.3849999999999973,0.4649999999999956,0.7387499999999898,0.7387499999999898,0.5174999999999945,0.4687499999999955,0.6987499999999907,0.4024999999999969,0.8849999999999867,0.69749999999999070,45,79,198,62,78,88,60,124,74308,372,591,591,414,375,559,322,708,558
morphclr_dexined_single_random_resnet18_50-epochs_stl10_100-epochs,0.4074999999999968,0.352499999999998,0.6462499999999918,0.3799999999999974,0.41999999999999654,0.3662499999999977,0.7349999999999899,0.8512499999999874,0.8399999999999876,0.76249999999998930,37,68,73,42,51,81,212,116,82326,282,517,304,336,293,588,681,672,610
